Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean24,Mean28,Mean29
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,688.000,690.750,705.750,681.333,661.000,655,673.111,693,730.250,678.000,680.417,686.000,670.619,845,691.500,614,668.667,741.250,706.750,702.222,715.500,663.444,735.750,777.500,691.556,725.250,788.000,715.750,719.750,684.000,737.750,755.750,694.000,706.250,685.778,669.750,708.250,679.500,664.250,637.500,597.000,584.111,610.250,606.667,600.778,595.250,638.750,586.778,604.333,576.750,573.889,574.556,2971.000,3137.250,3209.750,3014.667,3374.000,3040.000,3036.250,2956.750,3057.250,3096.500,3596.000,3353.250,3349,3292.500,3169.750,3057.250,3113.222,3239.500,3197.778,3093,3296.000,3213.750,2917.750
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,681.000,632.750,683.000,674.917,643.000,666,665.556,675,639.750,693.750,675.000,672.000,671.714,709,659.000,664,629.333,731.000,689.750,717.444,676.500,667.111,720.500,739.250,685.778,715.500,751.750,640.750,698.250,691.250,728.750,742.000,746.750,713.500,676.444,714.000,705.000,724.250,693.500,579.250,568.250,599.111,595.000,615.111,616.889,647.250,641.750,629.778,641.000,605.750,602.111,609.222,2959.222,3127.250,3089.750,2917.889,2847.750,2828.500,2725.750,2623.750,2920.500,2927.000,3287.000,2765.250,3272,3154.500,2978.000,3003.250,3047.778,2998.750,3016.667,2876,2904.500,3239.500,2947.000
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,689.500,636.500,714.000,699.167,694.000,637,688.111,610,653.750,712.250,650.000,640.778,671.048,680,677.250,644,629.111,681.500,693.000,726.333,735.250,632.556,730.500,795.000,684.778,723.250,758.000,673.250,720.750,689.750,771.000,702.000,741.500,721.750,654.889,675.750,657.000,720.500,656.250,550.750,570.500,577.111,573.500,592.889,604.111,600.750,630.250,601.111,625.111,569.250,584.111,577.000,2809.444,3241.250,3201.000,2826.667,3039.750,2958.500,2860.000,2561.250,3012.500,2763.750,3492.000,2648.000,3542,3111.250,3170.750,3121.250,3032.333,3087.000,3063.444,3170,3103.500,3037.250,2782.000
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,659.000,652.000,695.000,682.917,684.750,668,668.778,662,665.000,689.500,657.833,660.333,661.476,678,698.750,682,648.111,627.500,728.750,746.778,699.500,648.556,719.250,783.250,682.222,727.500,718.500,664.750,716.000,706.250,804.250,681.500,720.000,707.750,679.333,660.750,661.500,667.750,651.750,593.000,577.000,574.556,583.750,602.444,597.667,611.250,650.000,617.889,627.667,564.250,584.556,598.111,3024.444,2918.750,3075.500,2965.111,3021.750,3052.000,3093.750,2843.500,2723.750,2866.750,3666.000,2936.750,3200,3394.250,3133.000,3117.000,3133.556,3138.000,3194.556,3315,3111.250,3109.000,2864.500
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,630.250,645.750,677.500,674.917,625.500,628,643.556,619,668.250,681.500,679.250,659.778,650.190,690,698.500,686,647.556,621.000,704.500,725.111,706.500,649.222,693.500,774.750,679.333,769.500,706.250,635.750,715.000,699.500,781.000,633.000,781.000,717.750,688.111,642.750,658.250,653.500,682.000,619.250,596.250,564.111,595.750,611.333,607.000,597.750,611.750,616.222,628.667,573.500,580.444,583.667,2891.111,2938.750,3214.250,2909.222,2899.000,2789.250,2932.500,2700.250,2809.500,2779.250,3445.000,2730.750,3090,3131.000,3068.750,3050.750,3128.000,3094.000,3084.444,3053,3073.500,3207.000,2902.500
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,641.000,636.750,627.750,656.750,626.250,605,635.222,590,621.750,640.000,670.083,657.000,646.476,775,641.500,642,644.333,632.750,641.000,734.222,772.000,629.111,718.000,803.250,676.000,736.750,711.000,647.250,698.000,632.000,749.750,667.000,726.250,691.750,690.333,633.000,661.000,642.750,654.500,571.750,578.500,566.000,573.500,595.111,596.889,602.250,649.250,583.333,612.556,573.250,568.778,575.000,2926.222,2773.000,3027.750,2834.889,2744.000,2811.750,2691.250,2659.750,2760.250,3022.000,3374.000,2835.750,3341,2918.500,2968.000,3314.250,3179.333,2942.750,3232.222,3117,3055.250,3350.500,2781.500
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,647.000,626.500,623.000,650.333,635.000,677,639.333,653,654.500,632.500,644.667,650.333,638.857,736,645.250,685,637.222,610.500,621.250,722.778,730.750,614.222,659.250,719.250,661.778,632.250,728.000,616.000,707.000,617.250,742.250,619.750,717.750,701.000,665.778,632.250,649.000,650.250,640.750,564.750,578.750,565.778,573.750,603.556,615.111,641.250,653.250,628.333,654.111,566.250,583.667,604.000,2893.667,2835.000,2963.500,2870.222,3000.500,3008.500,2758.750,2693.250,2846.500,2879.500,3604.250,2790.250,3279,3032.250,3278.250,3112.750,3056.222,3208.000,3131.444,3005,3182.750,3382.500,2888.250
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,634.750,625.250,631.250,646.333,623.250,635,643.667,666,651.750,634.750,663.917,647.778,633.333,739,655.000,657,616.778,614.250,610.500,725.889,699.750,634.556,635.750,787.500,651.778,635.750,704.750,667.500,694.750,633.750,691.500,626.250,695.750,716.500,664.111,647.250,660.500,632.500,626.500,555.250,563.250,568.667,590.250,584.111,596.222,597.250,607.000,605.556,607.889,550.750,569.556,582.556,2947.778,2656.500,3322.750,3004.222,3113.250,3020.250,2747.500,2717.000,2851.750,2921.500,3698.750,2822.750,3055,3173.000,3144.750,2804.750,3201.556,2923.750,3260.889,2928,3286.750,3275.250,2833.500
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,619.000,649.000,643.250,644.583,663.750,613,641.000,621,641.500,652.750,634.583,641.000,648.857,721,627.000,639,616.222,640.250,632.000,705.667,631.750,628.778,633.250,739.000,677.556,635.500,711.750,662.250,665.750,639.750,693.500,662.750,678.250,689.750,665.333,647.000,638.500,635.250,650.500,589.750,603.250,583.000,619.000,572.778,639.444,634.750,685.000,612.111,656.556,577.250,596.222,590.222,2999.778,2920.500,3189.750,2988.889,3066.750,2843.750,2770.000,2730.750,2909.500,2953.750,3773.750,2855.750,3188,3146.000,3017.750,3149.750,3131.778,2948.250,3172.778,2815,3167.250,3222.750,2810.750
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,631.750,649.000,612.000,631.167,626.250,640,626.111,695,643.250,639.750,650.833,629.556,640.333,768,635.750,663,624.778,639.000,643.750,703.556,642.750,632.667,615.000,734.500,661.333,650.500,695.000,665.500,702.750,650.500,694.500,629.000,666.250,702.000,664.000,654.250,620.500,638.000,626.000,566.000,575.250,573.444,613.250,553.889,600.889,618.750,611.250,587.778,612.222,560.500,567.667,583.111,2972.444,2750.000,3095.000,2888.889,3174.500,2926.000,2677.250,2630.500,2838.500,2870.250,3630.500,2880.500,2961,2989.250,3080.750,2903.500,3049.444,3020.500,3213.667,3339,3303.500,3258.250,2792.250
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,617.750,640.500,659.250,648.000,643.750,639,653.778,640,664.000,647.500,648.667,667.889,646.667,752,657.500,648,640.111,631.750,637.750,672.111,624.750,639.556,631.750,759.000,672.444,648.000,704.500,662.000,700.250,635.000,730.750,627.500,713.500,693.000,652.000,658.000,666.500,642.000,659.000,571.500,608.000,583.444,588.000,585.556,612.111,637.000,644.250,620.222,649.000,560.250,586.667,590.222,2940.333,2758.500,3271.750,2961.444,3042.500,2902.750,2750.500,2869.250,2847.750,2911.500,3607.750,2758.500,2936,3272.250,3116.500,3144.000,3027.667,2788.250,3239.444,3079,3248.750,3125.500,2943.250
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,628.000,659.000,653.250,647.333,669.250,657,648.778,681,655.250,635.750,652.583,640.889,658.381,813,650.250,650,631.222,638.500,620.750,679.111,643.000,630.000,652.000,739.750,691.111,654.750,720.500,666.000,721.250,668.250,736.750,650.750,696.750,724.250,650.000,666.250,653.250,668.500,635.750,561.500,577.250,568.222,584.250,575.000,594.333,610.750,649.750,614.667,628.778,572.500,569.000,583.000,3012.111,2904.250,3098.250,3034.000,3036.500,2786.250,2713.750,2786.000,2797.750,2906.250,3608.250,2808.500,3035,3174.000,3205.000,3102.000,3041.667,3028.750,3286.444,3015,3161.750,3207.000,2831.750
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,634.750,686.250,639.250,636.000,635.750,650,650.778,648,658.750,639.500,655.667,659.556,646.095,751,637.250,608,624.667,620.500,631.750,686.000,621.500,625.222,650.000,735.750,678.444,653.500,746.000,694.500,737.000,662.500,773.000,641.250,670.000,749.250,659.000,640.750,656.250,629.750,650.000,578.000,580.750,577.333,593.500,570.778,590.111,631.250,680.000,631.444,653.667,576.500,572.444,591.222,3012.556,2824.000,3283.250,2993.111,3156.000,2875.250,2773.250,2754.000,2822.250,2833.500,3652.000,2921.250,2962,3236.500,3077.500,3051.750,3154.333,2937.250,3164.667,3035,3149.750,3064.500,2771.250
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,649.250,642.000,645.000,654.583,646.000,641,653.111,606,670.250,644.500,678.500,636.889,653.524,733,647.000,599,628.000,620.250,609.000,669.111,636.250,629.000,642.250,712.000,678.222,648.500,721.500,684.750,721.000,634.500,720.750,637.000,664.250,734.250,642.444,643.000,637.000,648.500,625.000,585.000,558.500,581.778,580.250,566.667,596.333,626.250,644.500,627.667,641.111,561.750,574.667,581.889,2928.111,2959.750,3075.250,2967.111,3030.250,3066.000,2784.750,2801.750,2754.500,2852.000,3450.250,2836.750,2612,3273.500,3140.250,3166.000,3098.778,2890.500,3022.556,3073,3237.500,2968.000,2732.250
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,627.500,629.000,631.500,635.250,651.750,673,662.444,677,629.750,654.750,672.167,646.667,650.190,632,621.500,603,611.556,645.750,611.250,676.222,642.500,620.556,646.250,692.750,661.111,621.500,707.500,680.500,692.750,632.500,713.750,660.000,715.500,712.000,628.222,622.000,652.250,655.750,648.500,564.750,571.000,566.778,588.500,568.444,632.111,596.750,644.250,601.667,637.778,566.250,570.889,587.333,2832.778,2844.500,3195.000,2919.889,3105.000,3273.000,2720.500,2671.500,2899.250,2892.500,3668.500,2869.750,2715,3140.000,2954.750,3155.250,3181.444,2839.750,3100.667,3132,3180.750,2789.500,2845.750
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,632.250,617.500,658.500,639.583,635.250,691,632.000,635,649.000,623.000,649.000,634.444,642.667,641,638.500,601,607.889,628.250,619.500,661.667,638.500,622.000,660.000,711.250,655.889,626.000,673.250,666.250,693.250,674.250,745.250,652.000,693.750,685.500,626.667,639.250,635.750,646.500,654.500,566.000,577.250,589.778,595.500,586.444,621.333,635.000,657.000,623.222,650.111,578.250,580.000,595.556,2766.556,2787.000,3110.250,3033.667,3014.500,2943.750,2858.750,2793.250,2742.000,3012.250,3575.000,2782.500,3027,3217.500,3074.250,3020.250,3224.778,3043.000,3109.111,3240,3166.500,3019.750,2779.750
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,652.750,613.750,666.000,639.833,641.000,692,632.889,612,627.000,619.750,642.333,644.000,640.762,654,638.750,589,611.000,629.250,616.500,676.556,639.000,632.111,653.500,681.500,665.667,629.000,738.000,684.500,689.750,647.000,701.250,649.250,697.500,721.250,623.667,672.250,646.750,628.250,629.250,566.750,569.250,564.111,575.000,553.667,613.333,578.250,617.000,606.333,619.556,565.250,560.222,576.778,2748.667,2716.500,3186.250,2920.444,2927.250,2833.000,2629.250,2705.500,2721.500,2847.000,3689.750,2817.000,2874,3076.500,3159.500,2930.500,3071.889,2897.750,2921.444,3019,3136.500,2725.000,2759.000
180315_sfGFP EB3 5nM_L50_100msec_film1-1.tif,638.500,666.250,628.750,627.750,653.750,640,651.444,701,638.500,653.250,662.000,643.000,653.667,640,635.000,634,614.889,622.250,626.500,699.667,663.750,641.778,647.500,669.000,660.667,638.500,707.250,699.750,704.000,646.250,678.250,639.500,686.750,701.500,640.111,648.250,643.000,653.250,637.750,565.250,600.500,590.333,635.500,587.778,630.111,621.500,643.750,610.000,644.889,598.000,585.333,601.111,2777.556,2717.750,3295.500,2885.222,3030.750,2886.750,2933.000,2715.000,2759.750,3078.250,3599.750,2900.250,2803,3096.000,3294.250,2993.250,3167.333,2800.250,3034.333,3226,3219.250,2942.750,2775.500
