Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,596.889,601.500,607.222,605.500,601.667,595.667,640.500,602.778,619.750,609.250,590.667,595.333,679.250,605.750,615.500,602.500,590.000,609.750,674.778,638.250,602.000,616.000,621.750,629.500,605.750,595.667,629.250,579.556,581.111,563.500,557.750,563,578.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,589.556,574.250,590.000,582.500,591.889,576.667,578.750,572.111,597.750,597.000,584.778,586.333,693.500,620.500,628.250,629.250,592.250,606.250,671.778,651.500,607.111,615.500,608.500,633.500,620.250,598.556,635.750,592.556,586.444,596.750,602.750,599,584.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,592.222,580.750,602.667,583.750,588.000,585.333,570.500,568.333,611.750,639.250,583.444,585.222,695.750,607.750,608.250,596.500,583.000,570.250,659.333,613.750,592.111,622.500,648.750,622.500,623.000,596.556,614.500,586.778,576.889,573.250,576.000,596,571.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,604.889,584.750,586.556,573.250,623.556,598.417,576.000,574.556,599.750,588.750,574.000,591.889,666.000,617.250,616.000,620.750,625.000,564.750,691.111,655.750,621.333,648.250,655.750,631.750,612.500,584.000,672.250,561.000,579.667,577.000,575.750,617,586.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,599.556,570.750,563.889,557.750,605.222,568.750,569.500,554.667,593.750,575.500,553.778,584.444,673.000,585.250,607.500,582.750,572.250,556.750,637.889,612.750,586.222,580.250,625.500,554.250,599.500,555.444,591.250,560.556,570.222,560.750,569.750,575,565.238
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,609.111,613.500,578.444,585.500,594.000,584.417,576.000,570.556,583.250,663.500,597.556,593.667,713.500,565.500,636.500,651.250,603.750,574.250,707.889,705.500,617.889,564.000,622.250,580.500,632.000,581.222,660.000,572.000,594.222,591.750,574.750,581,581.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,578.667,568.000,566.667,545.750,574.333,565.250,563.500,554.556,571.750,612.250,584.556,561.333,643.250,557.000,563.750,567.750,584.500,558.250,666.556,624.500,594.778,563.750,621.000,549.500,583.750,555.111,581.500,558.889,567.889,580.250,558.750,574,559.524
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,592.111,597.000,576.667,584.500,576.222,577.583,584.750,567.111,605.750,663.750,598.778,596.444,690.250,595.750,630.750,623.500,598.250,570.500,673.333,682.000,608.222,564.000,609.500,564.500,621.500,584.333,629.750,582.111,578.889,576.750,574.000,595,571.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,584.667,583.500,559.556,565.000,570.667,572.417,571.250,555.111,569.500,602.500,590.667,579.222,702.750,564.250,582.250,590.250,590.000,562.500,676.333,596.750,595.111,548.500,613.500,554.750,561.750,571.556,612.000,558.111,584.333,548.750,573.500,601,559.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,616.000,605.750,576.556,554.250,574.444,568.417,567.750,583.889,559.000,579.000,602.333,573.889,716.250,590.000,627.000,609.750,591.500,575.500,688.556,656.500,617.889,557.750,615.750,563.750,591.000,583.333,634.000,565.778,586.000,576.000,588.750,575,569.810
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,607.111,618.000,564.000,552.000,568.667,574.167,577.500,553.000,577.500,574.000,579.333,557.222,683.500,568.500,611.750,611.750,579.000,550.500,639.444,641.250,604.222,562.250,635.250,550.000,609.500,559.111,617.250,567.000,599.000,571.500,561.000,568,566.000
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,601.111,582.250,560.111,560.500,569.889,570.333,587.000,570.111,582.500,562.000,593.444,565.111,681.750,559.250,601.750,609.250,602.250,567.500,667.889,619.750,600.889,552.000,619.250,564.000,589.000,576.556,615.250,563.778,574.667,583.500,571.750,585,571.429
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,605.444,610.000,572.111,575.000,568.889,584.500,569.750,570.222,574.250,564.750,563.778,568.222,705.500,571.250,592.750,621.750,573.750,586.000,699.444,646.750,575.333,563.500,644.500,561.250,615.000,577.333,621.250,572.222,582.222,565.500,568.000,588,575.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,590.111,554.500,563.778,579.500,566.889,560.250,557.750,562.333,570.000,559.250,557.000,562.889,649.250,564.750,620.500,603.750,549.500,551.000,650.111,611.000,562.444,551.250,593.500,555.750,558.000,556.222,626.250,551.444,564.778,557.000,560.250,572,563.667
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,583.444,589.000,584.222,590.000,585.444,586.417,580.500,577.000,565.500,600.000,575.333,575.667,742.250,589.250,617.750,635.000,569.250,605.250,704.333,654.250,566.889,574.250,662.000,588.750,610.500,572.000,641.250,573.556,584.111,598.500,590.250,599,578.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,592.333,577.000,558.889,568.500,556.222,566.167,572.250,559.444,562.500,565.000,560.111,561.222,674.750,567.250,593.000,597.250,570.750,548.750,652.778,606.750,552.889,560.000,603.500,562.750,574.750,567.556,639.500,552.444,566.556,564.250,551.250,576,562.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,595.556,594.000,576.111,579.250,578.778,580.833,591.750,588.000,583.250,565.500,573.667,580.778,696.750,581.750,620.000,657.750,579.750,587.000,706.111,643.750,571.556,580.000,621.500,579.250,598.250,578.333,606.000,567.111,588.889,592.000,591.750,559,577.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,581.889,609.000,575.444,570.250,572.667,564.750,579.000,576.556,568.750,572.000,559.222,562.889,695.250,568.250,595.000,593.750,572.500,569.250,691.556,650.500,577.222,578.250,644.750,579.750,591.000,571.222,609.500,561.444,598.556,563.000,555.000,583,573.571
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,595.333,580.500,585.222,575.500,576.889,585.583,577.500,566.333,577.750,567.750,579.222,570.111,753.500,591.000,620.750,643.500,591.250,582.250,685.000,625.250,568.111,599.000,641.500,582.500,600.500,573.111,641.500,563.556,588.889,556.750,562.500,614,580.333
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,591.667,568.250,566.556,566.500,562.556,564.000,576.250,563.778,573.250,574.750,552.667,567.889,683.750,557.750,596.500,586.500,571.750,583.750,641.889,626.000,567.444,551.750,625.750,565.500,592.750,562.444,590.500,564.111,577.889,562.250,554.750,606,565.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,608.444,613.500,569.556,572.250,573.667,580.167,571.750,572.444,580.250,562.750,571.333,570.667,707.250,574.250,627.500,619.000,590.250,564.750,668.111,644.250,576.778,589.250,614.750,571.000,593.500,572.444,568.750,562.889,599.333,561.250,579.000,551,572.857
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,606.889,576.500,571.000,577.750,576.889,573.667,584.500,578.444,560.250,577.500,566.556,564.889,694.750,582.250,603.000,627.500,582.500,584.500,655.111,597.250,569.000,577.250,599.000,555.750,591.750,577.556,578.750,568.333,578.667,564.750,572.500,585,573.476
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,599.000,585.750,570.778,583.750,579.667,571.833,571.500,574.333,591.250,568.250,560.333,555.444,675.000,556.000,603.500,616.250,579.000,564.000,627.889,590.000,569.111,556.250,615.750,556.750,570.250,555.889,573.250,561.778,574.667,564.500,564.500,599,569.714
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,604.889,594.500,571.000,579.000,576.333,580.333,577.000,582.333,586.250,581.750,576.667,558.333,724.500,570.750,603.500,625.750,566.500,572.250,664.556,644.500,580.333,591.000,616.750,587.750,608.250,570.889,587.250,572.444,581.000,582.000,590.500,581,583.048
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,584.556,596.250,559.556,567.250,555.111,555.750,563.250,560.111,561.750,553.750,567.333,567.222,697.000,544.750,580.250,600.250,567.500,548.000,611.556,591.750,557.222,562.750,559.750,566.250,600.000,562.889,575.250,562.111,572.333,557.250,554.250,545,559.619
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,598.889,593.250,576.333,561.500,576.111,578.500,584.500,576.889,584.250,575.750,570.222,569.333,720.500,599.000,634.000,596.000,590.750,558.250,687.444,640.250,582.556,579.250,647.750,566.750,599.500,579.778,595.000,567.444,581.444,571.500,583.500,578,592.381
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,575.778,572.750,565.444,574.000,560.556,558.917,570.250,563.889,548.250,574.750,551.111,561.333,646.500,581.250,597.750,589.250,572.750,567.750,637.333,606.750,562.111,560.000,603.750,543.750,566.250,555.889,588.750,563.000,571.444,567.250,588.750,561,565.905
180315_sfGFP EB3 5nM_L50_50msec_film6-1.tif,595.000,592.250,585.444,558.750,570.889,584.667,575.250,570.222,583.750,553.500,568.444,575.889,660.750,569.000,647.500,627.000,605.500,575.000,678.778,618.500,571.667,563.000,643.500,573.000,607.750,575.000,564.750,577.222,586.667,566.250,586.000,574,585.762
