Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,606.750,602.750,601.778,611.750,605.778,610.111,605.444,596.111,608.000,601.222,629.500,622.333,613.778,628.750,574.762,596.250,581.250,630.250,575,601.222,560,593.000,589.889,588.667,600,595.667,596.222,611.778,613.250,654.750,579.000,577.833,594.750,562.889,580.000,588.750,573.500,563.750,571.250,579.750,603.333,601.111,598.333,599.222,634,622.250,611.750,610.750,617.000,593.000,604.583,606.333,623.250,745.333,618.750,588.250,591.000,595.500,592.750,566.000,591.750,599.667,585.222,598.333,627,609.000,582,596.000,597.500,577.111,610.750,591.333,600.000,624.250,592.000,577.857,585.250,596.889,601.500,607.222,605.500,601.667,595.667,640.500,602.778,619.750,609.250,590.667,595.333,679.250,605.750,615.500,602.500,590.000,609.750,674.778,638.250,602.000,616.000,621.750,629.500,605.750,595.667,629.250,579.556,581.111,563.500,557.750,563,578.381,597.500,592.250,605.250,607.000,606.500,603.500,605.000,602.250,597.250,622.500,689.500,613.750,601.556,580,588.250,579.000,587.111,587.500,588.556,565.500,605.000,617.250,588.083,636.750,633.500,607.000,617.500,626.500,608.750,635.750,551.333,588.500,604.750,589.250,573.750,618.000,613.750,599.000,597.222,604.750,617.000,609.500,572.500,574.222,583.417,579.444,602.500,587.556,577.111,589.500,609.750,620.500,616.500,600.250,630.750,622.250,635.500,613.500,620.750,607.778,604.000,625.750,581.250,582.222,574,586.250,590.222,589.556,596.778,601.778,609.750,598.250,614.000,624.250,604.250,597.333,595.500,589.500,601.750,622.250,591.250,586.333,634.000,602.000,609.500,609.750,587.889,635.778,621.250,614.000,596.000,590.750,575,577.750,578,598.222,570,555.500,601.500,568.222,568.500,568.500,580.000
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,567.500,567.500,588.222,563.750,585.667,579.333,553.778,566.667,576.250,605.111,638.750,599.111,613.778,610.250,591.810,609.250,617.750,607.750,592,605.111,706,600.750,613.889,605.444,626,614.333,626.778,643.667,625.750,733.250,628.500,627.833,647.000,610.556,620.667,639.250,617.500,635.250,621.583,648.750,575.778,587.444,585.333,564.333,571,622.750,593.500,611.417,598.000,602.083,614.833,600.556,598.250,749.556,617.750,607.500,607.750,644.750,612.500,587.556,594.250,604.917,601.778,574.111,579,577.750,570,572.500,601.500,559.556,600.750,613.778,615.250,661.500,615.000,586.905,630.500,589.556,574.250,590.000,582.500,591.889,576.667,578.750,572.111,597.750,597.000,584.778,586.333,693.500,620.500,628.250,629.250,592.250,606.250,671.778,651.500,607.111,615.500,608.500,633.500,620.250,598.556,635.750,592.556,586.444,596.750,602.750,599,584.048,585.500,588.250,609.750,591.667,568.500,586.250,660.000,601.250,618.750,627.000,737.000,650.000,602.444,622,623.500,606.500,610.889,611.250,611.333,616.000,583.250,589.750,590.500,625.750,679.000,618.250,628.500,632.250,610.250,637.500,603.444,611.750,628.250,603.250,603.250,619.000,631.250,621.000,640.667,613.000,620.250,653.000,612.500,625.889,617.500,610.333,616.750,626.333,616.000,641.500,583.250,592.250,605.750,575.417,613.750,655.500,669.250,630.500,616.000,615.556,633.500,630.750,603.750,616.222,624,636.500,611.556,612.778,615.889,631.000,607.250,609.500,634.667,614.750,634.250,611.111,591.250,586.750,629.750,692.750,624.000,618.222,666.500,677.000,655.500,606.000,618.222,671.556,640.750,649.750,631.500,653.000,590,630.250,623,625.556,642,615.500,628.750,613.111,625.000,617.750,629.750
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,588.000,550.500,598.556,567.000,598.889,587.778,564.222,571.778,606.250,616.667,625.000,607.778,600.333,616.250,600.333,600.250,594.750,618.250,559,616.667,589,634.750,605.000,589.000,612,597.111,590.333,580.111,612.250,653.500,601.250,578.500,634.500,571.444,573.667,585.750,565.750,596.500,571.750,585.000,592.222,603.000,595.444,586.667,597,634.750,592.500,623.167,586.250,583.833,611.583,587.111,604.000,768.444,621.000,578.500,590.250,623.250,590.250,566.000,617.000,607.750,597.778,574.778,585,569.750,569,572.250,547.250,567.111,566.250,608.111,590.750,638.500,569.750,572.810,618.750,592.222,580.750,602.667,583.750,588.000,585.333,570.500,568.333,611.750,639.250,583.444,585.222,695.750,607.750,608.250,596.500,583.000,570.250,659.333,613.750,592.111,622.500,648.750,622.500,623.000,596.556,614.500,586.778,576.889,573.250,576.000,596,571.714,579.750,569.250,584.000,598.333,558.000,562.000,627.750,612.750,586.000,601.750,735.500,603.000,578.667,556,587.500,599.750,582.889,584.250,585.333,591.000,580.500,594.750,563.167,619.000,658.000,607.250,585.500,597.250,595.250,627.250,572.000,590.000,595.750,596.250,547.000,575.000,582.500,626.250,585.111,637.000,607.000,589.500,565.500,593.111,574.417,569.444,587.500,583.444,590.778,581.250,574.000,593.250,588.500,564.417,585.500,616.250,650.500,617.750,556.250,563.778,599.750,612.000,559.000,606.778,557,608.750,585.667,595.444,601.333,567.889,586.500,600.250,634.778,606.750,597.750,592.556,568.250,561.250,616.750,621.250,614.500,588.333,606.500,606.500,588.250,587.000,573.889,642.333,576.250,565.750,622.750,610.500,587,581.500,614,610.333,613,569.250,615.750,577.333,568.250,600.750,583.000
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,568.750,554.000,580.556,556.500,581.111,573.222,553.889,561.889,558.250,611.000,624.000,602.556,590.667,600.250,580.190,583.000,558.500,596.000,569,611.000,545,558.000,615.667,620.889,598,632.444,629.000,623.444,616.250,705.000,608.000,605.167,629.500,581.889,602.444,618.750,596.750,622.750,610.500,687.750,592.778,595.222,608.333,577.000,589,635.750,545.750,602.917,558.750,567.167,604.167,575.222,620.750,709.667,598.750,588.500,570.750,626.250,581.750,580.444,591.250,590.833,595.667,560.111,596,567.750,575,551.000,549.750,559.111,560.250,593.333,591.500,648.000,552.000,564.952,610.750,604.889,584.750,586.556,573.250,623.556,598.417,576.000,574.556,599.750,588.750,574.000,591.889,666.000,617.250,616.000,620.750,625.000,564.750,691.111,655.750,621.333,648.250,655.750,631.750,612.500,584.000,672.250,561.000,579.667,577.000,575.750,617,586.381,560.500,563.000,605.000,595.667,550.500,570.750,619.750,595.000,619.250,613.500,724.500,602.500,583.111,568,580.750,563.750,594.111,593.750,561.111,582.000,549.250,591.750,578.833,648.500,621.000,615.000,591.000,615.500,570.000,610.250,572.222,578.500,587.750,591.250,550.750,595.250,633.000,612.750,606.889,616.500,624.500,612.000,586.750,587.556,572.667,565.889,568.500,607.889,593.222,601.000,595.750,605.000,610.000,594.833,623.000,640.500,650.000,626.250,581.500,576.778,633.250,632.000,591.500,599.000,591,659.750,619.556,606.889,617.556,579.111,604.500,653.000,668.889,630.250,611.250,635.889,574.250,575.500,640.000,652.500,642.750,605.222,645.750,602.000,655.750,575.250,580.667,669.222,567.500,565.500,640.250,594.250,582,586.500,645,665.667,608,582.250,600.000,575.556,582.000,602.000,597.250
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,568.250,573.000,597.000,569.750,608.333,600.111,582.222,569.444,563.000,656.889,607.000,639.667,603.778,641.500,601.905,602.500,634.250,621.250,606,656.889,612,588.750,608.556,587.889,580,609.111,603.222,587.778,606.750,665.250,607.500,585.583,607.750,569.778,582.000,582.000,572.750,616.500,573.667,650.250,580.778,609.889,604.556,577.000,652,618.500,602.500,638.167,567.500,587.583,626.000,582.778,621.000,814.778,636.500,578.000,610.750,640.750,628.750,572.778,600.000,618.500,628.556,561.333,561,554.500,540,572.250,561.250,582.667,584.250,608.667,610.000,646.000,578.000,568.810,598.500,599.556,570.750,563.889,557.750,605.222,568.750,569.500,554.667,593.750,575.500,553.778,584.444,673.000,585.250,607.500,582.750,572.250,556.750,637.889,612.750,586.222,580.250,625.500,554.250,599.500,555.444,591.250,560.556,570.222,560.750,569.750,575,565.238,581.000,580.250,585.500,620.667,564.750,577.750,590.750,610.500,609.250,633.000,743.750,585.500,593.333,568,585.000,601.500,584.778,576.500,603.333,596.750,574.750,613.750,584.833,617.250,665.000,605.750,602.000,669.250,612.500,620.500,575.889,590.750,607.750,577.000,560.500,603.750,597.250,621.250,604.556,604.750,610.500,608.000,593.500,593.556,571.500,570.889,580.000,597.556,591.000,596.000,567.500,585.000,569.750,575.417,615.000,582.000,575.500,572.500,556.250,563.444,588.250,606.250,562.000,602.222,552,592.750,580.000,587.778,582.222,571.889,616.500,617.000,620.778,608.500,605.500,568.111,571.750,573.250,605.000,588.000,615.000,595.889,607.500,577.500,634.000,564.750,570.111,648.556,583.250,573.500,618.000,594.000,560,572.750,617,610.222,604,566.500,592.750,572.333,555.750,580.750,587.750
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,567.250,549.250,586.333,549.750,574.222,565.333,560.111,550.889,559.000,586.778,639.000,590.556,578.333,614.000,580.857,569.750,600.000,593.000,565,586.778,584,554.750,623.111,612.111,582,628.778,606.444,600.000,589.250,679.750,630.500,611.917,642.000,578.889,583.778,625.000,572.750,633.250,578.667,648.750,564.000,581.556,594.778,553.333,614,607.500,557.750,595.833,562.250,550.833,590.417,558.111,595.000,731.000,599.750,545.000,569.250,592.250,562.250,564.778,576.750,594.083,560.000,545.444,550,565.500,543,550.500,549.000,572.667,550.500,597.778,583.750,611.750,563.250,557.333,580.000,609.111,613.500,578.444,585.500,594.000,584.417,576.000,570.556,583.250,663.500,597.556,593.667,713.500,565.500,636.500,651.250,603.750,574.250,707.889,705.500,617.889,564.000,622.250,580.500,632.000,581.222,660.000,572.000,594.222,591.750,574.750,581,581.476,559.000,560.750,571.500,592.111,552.500,570.250,580.750,598.000,608.750,612.750,665.500,561.000,590.222,550,563.750,595.750,572.111,570.000,587.111,562.250,561.000,562.500,563.750,597.500,624.500,599.750,585.000,643.500,604.000,623.000,564.333,597.500,580.750,554.250,561.000,606.500,615.250,603.250,605.444,607.750,619.500,616.750,573.750,595.556,574.750,565.111,564.500,593.778,596.111,587.000,583.000,612.250,593.000,591.167,629.500,676.750,597.250,575.500,594.000,579.000,604.500,643.250,589.250,618.556,564,602.750,596.333,618.333,616.000,559.889,619.000,633.500,657.556,622.500,597.250,630.111,553.250,569.000,599.250,645.250,634.250,601.556,620.500,572.000,610.250,564.500,566.333,671.222,567.750,566.500,634.750,666.000,558,580.250,623,631.000,604,572.500,605.500,568.778,592.000,573.250,637.000
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,578.500,611.750,603.556,569.000,606.667,600.333,583.333,574.444,568.750,624.444,666.500,617.333,590.778,635.750,589.952,580.250,614.500,625.750,598,624.444,597,613.750,615.778,611.444,598,610.444,599.222,625.778,634.500,696.250,605.750,584.167,633.250,579.889,579.222,614.000,602.500,601.250,568.750,620.500,587.556,602.889,629.556,572.000,629,616.000,601.000,630.417,590.000,582.833,612.167,567.556,638.000,782.889,626.000,583.250,602.000,619.750,589.000,577.222,602.750,613.417,576.333,575.889,599,569.750,590,584.750,559.250,579.000,566.500,625.667,636.250,646.500,572.500,565.286,610.250,578.667,568.000,566.667,545.750,574.333,565.250,563.500,554.556,571.750,612.250,584.556,561.333,643.250,557.000,563.750,567.750,584.500,558.250,666.556,624.500,594.778,563.750,621.000,549.500,583.750,555.111,581.500,558.889,567.889,580.250,558.750,574,559.524,592.000,572.250,581.750,600.333,568.250,570.500,642.750,620.000,624.750,633.750,778.250,614.250,625.778,566,586.500,623.500,570.889,631.000,618.889,598.750,589.250,600.500,579.250,635.000,654.500,610.750,611.250,647.500,653.750,623.500,574.444,583.750,621.250,561.750,574.750,594.500,606.000,608.750,614.333,626.000,637.250,613.000,563.250,627.000,574.083,582.889,592.250,596.778,573.444,612.250,563.250,571.250,577.250,568.833,607.750,617.750,566.000,554.250,557.000,564.667,575.500,552.500,557.500,591.111,545,599.750,562.222,591.000,591.222,584.333,595.500,641.250,640.778,606.750,612.250,628.111,570.500,569.500,601.250,656.000,625.500,605.556,614.750,596.000,634.750,553.000,582.889,684.444,575.500,584.000,648.500,600.000,564,583.000,590,612.000,586,577.750,596.750,570.444,566.500,571.000,600.500
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,581.500,559.500,565.556,550.750,595.889,588.778,564.667,565.333,546.500,564.444,615.500,606.778,580.889,619.500,586.857,581.250,591.750,626.250,564,564.444,589,599.500,602.000,603.889,579,604.000,607.556,594.000,647.000,689.250,597.750,606.500,615.750,561.889,582.000,600.250,572.000,634.000,566.750,584.750,560.889,586.000,621.222,565.000,661,606.000,569.250,605.417,563.750,558.833,620.500,570.111,606.500,738.222,605.750,571.500,584.500,614.250,586.750,556.333,569.750,586.167,558.889,551.778,530,556.750,589,548.750,568.750,556.333,557.250,588.778,572.500,603.000,564.000,560.476,569.000,592.111,597.000,576.667,584.500,576.222,577.583,584.750,567.111,605.750,663.750,598.778,596.444,690.250,595.750,630.750,623.500,598.250,570.500,673.333,682.000,608.222,564.000,609.500,564.500,621.500,584.333,629.750,582.111,578.889,576.750,574.000,595,571.381,577.000,563.000,559.250,608.778,559.750,560.500,594.000,585.750,597.250,556.500,674.500,597.750,580.667,570,565.250,604.000,565.000,599.250,577.222,572.000,566.750,581.750,564.500,614.000,613.500,572.000,562.500,604.000,619.000,613.500,558.222,576.750,579.500,561.000,551.500,553.750,596.000,583.500,597.444,601.250,580.250,598.250,540.000,587.556,565.000,555.222,568.000,600.222,587.333,579.250,559.000,631.000,633.500,582.333,628.500,621.000,584.000,556.000,578.250,581.333,614.500,612.000,572.250,605.778,559,617.500,588.111,628.778,608.778,563.333,599.000,607.250,610.111,606.500,595.000,596.333,557.000,562.750,579.500,619.750,608.000,583.222,582.250,549.250,632.250,559.500,546.000,634.556,570.750,559.500,652.000,563.500,571,571.750,565,593.667,584,559.500,577.750,562.889,570.750,550.750,597.750
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,572.250,576.000,581.444,566.000,596.778,578.556,573.444,558.667,568.000,555.556,657.750,606.000,586.000,600.750,602.333,580.250,601.500,632.000,582,555.556,586,612.000,606.222,615.778,594,602.667,602.444,611.889,631.500,664.500,617.250,613.750,626.500,573.556,580.444,611.000,591.250,649.750,578.250,607.750,579.222,604.222,635.778,572.111,593,602.000,579.500,630.583,562.500,567.417,624.750,575.667,625.000,798.333,624.500,596.250,601.750,626.500,600.750,565.778,584.000,612.333,572.778,568.444,593,600.750,546,566.000,558.750,579.667,576.250,621.333,601.500,640.500,563.750,573.857,604.750,584.667,583.500,559.556,565.000,570.667,572.417,571.250,555.111,569.500,602.500,590.667,579.222,702.750,564.250,582.250,590.250,590.000,562.500,676.333,596.750,595.111,548.500,613.500,554.750,561.750,571.556,612.000,558.111,584.333,548.750,573.500,601,559.619,574.500,571.000,573.000,620.667,568.250,595.500,624.000,622.500,638.250,625.250,689.250,613.500,618.667,594,603.250,602.000,576.889,606.750,598.000,603.750,581.000,613.250,573.250,651.250,663.500,638.500,586.250,678.750,623.000,620.000,585.000,577.000,608.000,619.000,582.500,603.500,661.250,630.750,620.111,576.750,601.750,610.250,560.000,617.667,578.583,584.556,575.500,634.556,600.889,604.500,556.500,585.500,576.500,579.167,587.250,625.250,577.250,572.250,574.250,567.000,606.750,604.500,567.250,588.333,562,598.500,562.889,566.667,608.778,580.667,596.750,646.750,665.667,639.000,622.500,602.889,587.750,593.500,605.500,653.500,597.500,615.222,619.000,576.750,615.250,599.750,603.222,697.444,567.750,584.000,660.000,567.750,616,575.250,634,642.556,650,573.250,598.500,599.222,611.500,578.500,580.500
180315_sfGFP EB3 5nM_L50_50msec_film2-1.tif,559.500,574.500,566.333,563.250,584.889,582.556,564.222,568.889,569.000,555.000,604.000,616.333,575.889,569.000,599.857,577.250,601.750,604.500,626,555.000,570,600.750,595.333,595.111,562,596.444,585.000,585.333,590.750,654.500,601.750,588.500,608.000,570.444,573.667,585.500,567.250,636.500,563.333,611.750,565.556,586.778,607.444,575.444,588,617.500,570.250,606.750,574.750,566.250,621.333,584.333,602.250,747.222,627.000,583.750,601.750,602.000,556.750,554.778,570.250,599.083,571.889,561.333,543,570.500,542,569.500,550.750,558.222,568.500,569.111,587.000,603.250,552.500,560.571,584.750,616.000,605.750,576.556,554.250,574.444,568.417,567.750,583.889,559.000,579.000,602.333,573.889,716.250,590.000,627.000,609.750,591.500,575.500,688.556,656.500,617.889,557.750,615.750,563.750,591.000,583.333,634.000,565.778,586.000,576.000,588.750,575,569.810,547.750,559.250,558.000,580.444,568.250,565.500,579.750,588.250,633.000,596.500,685.750,587.500,578.222,588,574.000,591.750,568.778,568.000,595.111,572.000,564.500,573.750,563.250,578.750,618.000,590.250,565.000,613.500,599.250,594.250,565.778,581.250,585.000,575.750,564.750,574.750,589.250,618.500,600.778,584.250,606.250,609.000,562.750,586.889,569.917,560.222,558.750,583.556,575.222,574.750,576.500,592.000,575.750,574.250,597.000,574.250,587.500,568.500,596.750,575.000,602.000,644.500,575.500,593.333,586,636.250,569.333,570.000,595.556,566.222,592.250,608.000,636.222,620.250,599.250,586.111,581.750,570.000,575.250,597.500,580.000,584.889,606.000,618.750,598.250,554.250,561.111,622.222,572.250,578.000,632.500,564.500,556,555.750,594,600.000,624,550.500,598.750,569.222,559.250,557.250,599.000
