Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,693.778,653.333,683.500,686.750,742,700.000,694.250,689.111,680.889,700.250,678.500,674.556,696.500,685.000,689.500,693.000,696.750,716,754.000,671.250,690.750,683.000,678.889,705.500,716.500,732.000,758.250,702.500,802.000,703.000,784.000,717.444,684.556,683.250,745.000,717.250,724.250,715.250,737.000,737.000,784.000,669.250,662.750,673.444,676.333,622.500,687.500,671.250,650.222,717.500,706.000,682.556,681.000,705.750,671.167,673.750,696.000,708.750,696.000,713.000,689.500,687.000,686.750,710.500,673.333,701.250,665.778,675.778,738.750,680.000,765.250,752.000,748.250,730.750,697.750,729,676.750,696.750,713.500,705.222,752.500,730,666.222,685.250,642.750,697.750,648.500,683.250,695.750,656.000,672.667,666.556,689.000,674.500,646.250,681.500,772.750,678.000,686.000,670.417,710.250,676.222,792,693.750,689.500,802.750,676.556,696.250,700,715.500,682.833,655.556,718.500,684.000,665.500,746,673.222,684.000,684.500,664.667,814.000,704.000,719.250,718.750,789.500,778.250,736.750,773.000,689.667,693.500,711.250,664.667,782.750,672.500,668.500,701.500,702.000,647.333,687.000
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,669.000,652.333,684.250,661.250,608,678.250,666.250,689.667,656.778,636.500,663.000,636.000,638.750,628.750,648.000,651.000,677.500,616,764.000,694.500,701.000,698.250,665.889,735.750,729.750,714.250,726.250,704.500,768.000,671.250,801.750,708.667,693.111,717.000,753.750,734.250,718.250,715.500,700.250,737.000,773.250,731.000,663.750,676.667,680.667,696.750,742.750,723.750,672.333,640.000,647.250,680.556,654.000,642.500,633.250,639.500,646.500,637.500,602.250,681.250,661.000,697.500,660.750,682.250,695.167,619.750,650.333,660.222,759.750,697.500,731.500,810.750,733.750,756.000,724.750,777,699.250,751.000,776.750,700.333,751.000,750,702.111,693.250,684.500,702.750,703.250,715.000,693.500,693.000,672.444,682.333,715.000,715.500,687.000,624.250,642.250,667.000,650.250,636.000,640.500,661.222,666,617.000,659.750,667.750,660.889,681.250,661,664.750,652.250,638.444,628.000,633.750,641.500,665,629.667,702.000,658.750,664.000,808.500,728.500,706.750,710.000,721.000,751.750,717.250,778.750,677.778,722.250,669.000,662.778,807.750,693.000,694.000,715.000,700.000,667.222,717.250
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,686.667,664.556,666.250,646.000,631,619.250,657.250,687.222,675.889,651.750,692.750,644.778,657.000,634.250,639.500,621.000,676.250,608,743.750,698.000,699.250,706.750,663.444,704.000,702.500,727.750,763.000,752.750,814.750,707.250,927.250,711.556,672.111,660.000,734.000,713.000,744.250,719.000,674.250,755.750,766.250,739.000,702.250,654.333,678.667,626.000,688.750,713.500,665.556,635.500,624.500,674.333,633.500,630.500,626.583,613.750,658.250,613.250,618.750,693.750,639.500,701.000,641.250,690.750,666.500,646.500,653.778,677.556,694.000,674.500,728.500,802.500,739.500,674.500,688.000,675,650.000,710.250,717.000,690.333,741.250,807,695.000,694.250,618.500,674.250,692.250,682.000,675.000,680.000,638.444,647.778,667.500,727.250,636.750,630.250,679.250,696.000,646.750,633.000,654.500,660.556,638,628.000,635.500,636.250,626.778,693.250,621,626.250,634.083,657.222,641.000,627.250,618.750,644,623.111,679.889,624.750,630.333,790.750,744.500,672.750,657.500,785.750,857.500,734.750,843.500,663.222,689.250,696.500,653.333,689.250,676.750,712.500,699.000,693.500,646.778,736.500
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,706.333,635.667,660.000,653.000,655,633.000,633.750,675.333,626.111,636.250,645.500,644.556,654.500,621.750,642.500,647.000,676.000,631,833.500,718.500,677.750,699.000,665.000,737.250,687.500,671.500,675.500,721.750,858.000,708.000,825.500,676.778,693.000,632.000,704.250,741.750,748.750,700.000,645.750,791.250,759.750,725.500,616.250,638.889,665.000,630.000,724.500,701.000,650.556,633.750,645.000,690.778,647.750,637.750,623.500,646.000,673.500,628.250,646.750,674.750,666.750,671.000,630.250,664.000,642.417,632.250,645.333,653.111,699.500,711.000,736.500,797.000,735.500,674.750,741.750,666,651.750,613.500,712.250,710.444,749.000,792,652.889,692.250,613.750,717.250,661.500,662.000,688.250,671.000,632.333,631.778,657.000,697.500,634.250,625.000,648.500,688.750,648.250,633.000,610.750,637.111,640,632.750,673.000,651.750,634.222,692.000,644,658.750,645.250,646.778,624.500,620.500,668.000,672,653.222,637.222,629.750,632.778,767.750,745.000,637.000,711.000,663.250,786.500,725.250,829.000,683.889,694.000,612.500,662.222,635.250,636.000,686.750,718.750,671.250,628.111,712.500
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,691.778,646.556,654.000,648.750,646,639.250,629.250,675.889,635.667,644.750,685.750,639.000,636.250,627.500,650.750,630.000,701.250,631,737.500,680.250,610.500,703.750,664.000,694.500,685.750,676.500,680.500,764.250,847.250,651.000,892.250,642.667,671.444,635.750,745.750,730.500,749.500,720.500,660.500,758.750,740.500,748.500,652.750,668.333,670.667,652.750,687.500,684.500,661.778,662.000,659.750,704.222,648.250,638.250,629.583,645.250,645.250,664.250,636.250,646.500,664.750,736.750,623.250,657.000,670.417,632.000,645.222,638.111,689.000,709.500,805.000,825.750,646.750,676.000,717.500,631,643.750,657.250,664.500,754.889,760.750,725,628.444,672.000,630.250,703.250,602.250,700.500,635.500,688.750,653.556,641.111,685.750,710.750,627.250,643.500,665.000,683.750,640.750,634.833,631.750,646.444,633,648.250,634.500,658.500,649.444,716.000,653,663.750,639.417,640.444,662.500,656.500,664.750,657,658.778,631.667,625.000,642.222,805.750,757.750,664.750,642.750,661.500,737.750,763.250,819.000,672.000,706.250,649.250,651.000,646.250,645.250,695.000,741.750,635.000,661.667,707.500
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,706.000,635.000,682.750,653.500,651,637.750,630.750,699.444,665.889,640.500,667.750,642.556,628.000,631.500,647.000,641.500,703.500,608,718.000,646.500,644.750,728.000,659.000,749.000,664.750,701.500,674.500,739.000,777.500,624.000,822.000,638.222,702.889,652.250,752.500,687.750,751.000,710.000,651.000,742.500,782.500,748.000,619.500,651.111,683.250,619.000,647.750,714.500,686.889,646.000,643.750,699.667,645.500,631.000,617.167,641.250,668.250,627.250,628.500,647.250,623.500,695.500,634.750,629.250,687.750,618.000,668.111,617.889,692.750,643.500,731.250,817.000,650.250,670.000,646.000,644,641.500,629.500,649.750,703.889,762.750,620,635.778,696.000,625.000,741.500,614.500,691.000,651.500,674.500,639.444,639.778,727.500,717.500,616.000,643.750,691.750,679.500,638.250,635.667,640.750,630.778,663,642.500,635.500,629.500,632.000,672.500,682,635.750,639.500,638.556,623.000,632.750,672.250,657,637.889,627.444,613.750,640.444,817.250,745.000,641.500,639.250,666.500,774.750,838.750,793.000,679.778,694.500,621.250,624.889,634.250,656.750,722.000,701.750,639.750,642.111,715.500
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,674.000,628.333,627.750,639.500,641,657.750,643.500,662.111,652.556,639.750,673.500,627.556,620.750,644.250,656.000,646.500,675.750,623,687.750,635.000,607.500,710.500,660.667,725.000,690.750,687.000,680.000,762.250,830.250,654.000,889.750,645.889,672.000,639.000,724.500,661.000,752.000,728.000,640.000,708.500,794.250,732.250,637.500,640.111,650.917,649.750,652.000,690.750,648.889,647.250,634.000,691.667,631.750,661.500,627.000,656.500,642.500,625.500,633.250,635.500,641.000,688.500,641.750,634.500,683.833,618.500,657.889,620.333,683.750,656.500,726.750,803.750,627.250,629.250,636.750,646,643.750,637.500,624.000,705.444,743.750,625,633.444,665.250,626.250,706.500,603.000,688.000,638.000,657.500,639.444,640.667,721.000,715.750,628.250,638.750,654.250,673.750,632.500,627.583,664.750,653.000,614,636.500,635.500,652.750,616.667,691.750,660,646.250,644.000,607.444,662.250,649.000,652.500,638,645.556,637.778,628.250,625.111,787.000,750.750,669.000,645.500,660.500,788.750,769.000,806.500,672.556,692.750,626.750,610.000,634.000,642.750,646.250,717.750,657.750,639.111,710.000
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,677.889,621.667,635.250,615.250,636,615.500,626.250,639.889,655.778,617.750,658.000,628.778,621.500,626.750,624.500,634.000,702.000,604,689.250,629.250,621.500,682.250,669.222,733.500,684.250,708.000,669.000,734.500,785.750,652.750,901.000,656.444,666.556,646.000,728.250,641.500,673.750,640.000,643.750,724.750,782.250,729.250,647.500,644.333,645.500,639.000,641.000,713.250,666.333,631.250,634.500,703.111,641.750,627.250,615.333,630.250,652.250,617.750,633.750,643.250,649.750,673.000,655.500,647.000,673.333,613.000,655.000,648.000,696.500,633.250,717.750,819.000,619.500,651.750,638.250,629,658.500,645.750,624.000,695.889,713.000,626,625.778,677.500,645.250,741.250,618.000,688.000,613.750,657.750,658.333,628.000,694.250,684.250,636.750,642.500,663.500,691.000,635.750,627.500,646.000,635.444,635,634.000,630.250,648.500,611.444,705.000,635,630.250,635.083,621.111,648.250,639.000,633.750,668,623.667,636.778,630.250,619.556,732.750,708.000,655.000,721.000,654.000,721.500,761.750,779.750,686.667,635.000,602.500,612.667,615.500,635.500,637.250,722.000,646.000,638.111,699.250
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,667.889,612.667,651.000,643.250,634,643.250,629.750,638.889,642.667,629.250,669.500,628.889,643.250,626.500,630.000,632.500,656.750,615,736.750,654.000,611.500,703.000,687.222,699.250,712.250,720.500,639.000,721.000,798.250,637.000,770.000,635.444,644.000,686.250,651.000,649.250,633.750,645.250,634.500,722.750,786.250,698.500,625.000,639.889,645.417,642.000,647.250,689.500,647.111,627.750,665.750,689.667,622.000,639.250,616.833,625.250,643.500,640.000,641.500,635.000,638.000,644.250,654.250,662.250,681.833,616.000,650.444,625.111,733.250,638.250,716.000,809.250,625.000,630.250,641.500,644,643.000,641.500,642.000,703.667,655.500,619,635.667,685.500,637.750,726.500,637.000,662.000,625.500,635.500,636.556,629.444,712.500,712.250,615.250,629.000,653.750,707.750,649.500,645.500,649.750,636.222,621,622.250,641.500,646.000,620.556,709.750,596,644.750,629.583,629.333,633.750,616.000,627.000,627,652.222,626.556,627.250,628.556,802.750,734.250,643.500,667.000,636.500,730.500,687.000,734.500,661.222,639.500,594.000,638.889,627.750,623.000,632.000,748.250,631.750,640.333,703.500
180315_sfGFP EB3 5nM_L50_100msec_film3-1.tif,662.222,628.556,642.500,608.000,645,637.750,621.000,659.889,646.556,663.750,639.250,651.667,649.250,641.750,630.000,631.250,659.250,654,695.500,610.000,637.750,726.500,657.000,713.250,683.500,712.750,676.500,706.000,782.000,662.250,840.250,652.000,633.444,651.500,664.250,644.750,630.250,647.500,641.750,734.250,843.250,711.250,626.500,642.889,652.583,643.000,625.500,702.500,646.667,636.750,623.000,693.000,639.000,635.250,617.833,626.750,605.750,627.250,614.000,640.750,642.250,645.500,639.750,654.000,690.750,633.000,654.444,614.889,695.250,618.250,765.500,740.000,621.750,650.500,628.750,658,635.000,635.000,640.250,682.444,649.750,660,630.000,663.500,631.000,718.500,636.250,660.500,606.750,641.500,624.889,637.000,723.500,684.500,623.000,628.250,675.250,676.500,624.000,630.750,660.000,645.111,597,646.000,658.750,650.250,625.556,687.500,616,665.000,642.417,629.444,629.750,627.250,622.750,601,666.333,635.444,625.250,619.778,786.250,782.750,646.500,668.500,652.250,734.250,728.750,762.500,667.667,637.750,630.750,619.444,658.000,652.000,642.000,705.250,625.500,639.778,651.750
